Дата от,Дата до,Тежки катастрофи,Леки катастрофи,Тежко пострадали,Леко пострадали,Пострадали водачи,Пострадали пътници,Пострадали пешеходци,Пострадали мотоциклетисти,Пострадали велосипедисти
2014-05-22,2014-05-22,4,50,0,4,0,0,1,2,0,1
2014-05-21,2014-05-21,10,52,0,10,1,1,2,0,2,0
2014-05-20,2014-05-20,2,61,0,3,1,1,2,0,1,2
2014-05-19,2014-05-19,4,61,0,4,2,2,0,2,0,0
2014-05-16,2014-05-18,8,139,0,10,4,4,1,5,0,0
2014-05-15,2014-05-15,5,78,0,6,1,1,2,3,0,0
2014-05-14,2014-05-14,5,66,1,5,0,0,2,3,0,0
2014-05-13,2014-05-13,5,49,0,6,1,1,3,2,0,0
2014-05-12,2014-05-12,2,52,0,2,0,0,1,1,0,0
2014-05-09,2014-05-11,6,84,0,10,2,2,7,0,0,1
2014-05-08,2014-05-08,5,46,0,5,0,0,1,3,1,0
2014-05-07,2014-05-07,6,39,0,6,0,0,0,1,2,2
2014-04-29,2014-04-29,9,60,0,10,1,1,1,5,3,0
2014-04-28,2014-04-28,1,56,0,0,0,0,0,1,0,0
2014-04-25,2014-04-27,10,107,2,11,0,0,4,4,2,1
2014-04-24,2014-04-24,12,55,1,15,2,2,2,8,2,1
2014-04-23,2014-04-23,2,39,1,2,1,1,0,1,0,0
2014-04-22,2014-04-22,2,60,0,2,0,0,0,1,1,0
2014-04-17,2014-04-21,14,155,5,21,0,0,0,6,0,0
2014-04-16,2014-04-16,5,81,1,5,2,2,2,1,0,0
2014-04-15,2014-04-15,2,49,0,2,1,1,0,1,0,0
2014-04-14,2014-04-14,2,79,0,3,1,1,1,1,0,0
2014-04-11,2014-04-13,8,127,0,10,0,0,0,1,0,0
2014-04-10,2014-04-10,2,65,0,2,1,1,0,1,0,0
2014-04-09,2014-04-09,7,48,0,7,1,1,0,0,0,1
2014-04-08,2014-04-08,9,51,1,9,1,1,0,0,0,0
2014-04-07,2014-04-07,6,53,0,6,0,0,2,1,0,0
2014-04-04,2014-04-06,12,113,0,14,0,0,0,1,0,0
2014-04-03,2014-04-03,3,42,0,3,0,0,1,1,1,0
2014-04-02,2014-04-02,6,54,1,9,1,1,0,1,0,1
2014-04-01,2014-04-01,6,44,0,8,2,2,3,1,2,0
2014-03-28,2014-03-30,8,127,3,10,2,2,3,3,1,1
2014-03-27,2014-03-27,5,40,0,5,2,2,0,2,0,1
2014-03-26,2014-03-26,2,45,0,5,0,0,0,5,0,0
2014-03-25,2014-03-25,3,57,0,3,1,1,0,1,1,0
2014-03-24,2014-03-24,10,51,1,13,3,3,2,7,1,0
2014-03-21,2014-03-23,12,110,1,11,0,0,5,3,1,2
2014-03-20,2014-03-20,4,44,1,5,1,1,2,2,0,0
